"Network","Reciprocity","AveragePathLength","Transitivity"
"Empirical: Advice Network",0.39237668161435,2.24326691482374,0.478782630211555
"Random: Advice Network 1",0.138165345413364,2.15297039950321,0.364731861198738
"Random: Advice Network 2",0.150513112884835,2.14282757193128,0.341362789459675
"Random: Advice Network 3",0.146118721461187,2.1117780997723,0.352118305355715
"Random: Advice Network 4",0.121142857142857,2.14386255433658,0.337350213255704
"Random: Advice Network 5",0.15963511972634,2.11819499068516,0.331612390786338
"Random: Advice Network 6",0.157175398633257,2.12730283585179,0.335594628270802
"Random: Advice Network 7",0.162285714285714,2.10370523701097,0.334279490395406
"Random: Advice Network 8",0.15158371040724,2.1370316704616,0.35847208619001
"Random: Advice Network 9",0.137931034482759,2.13268474435935,0.347300300692901
"Random: Advice Network 10",0.138636363636364,2.11364106810184,0.346305289408059
