"Community","Attribute","AttributeValue","TotalCount"
"1","Age","26",0
"1","Age","28",0
"1","Age","29",0
"1","Age","30",0
"1","Age","31",3
"1","Age","32",1
"1","Age","33",0
"1","Age","34",1
"1","Age","35",1
"1","Age","36",1
"1","Age","37",0
"1","Age","38",4
"1","Age","39",0
"1","Age","41",1
"1","Age","42",1
"1","Age","43",1
"1","Age","44",2
"1","Age","45",1
"1","Age","46",2
"1","Age","47",0
"1","Age","48",1
"1","Age","49",2
"1","Age","50",1
"1","Age","52",1
"1","Age","53",3
"1","Age","55",0
"1","Age","56",0
"1","Age","57",0
"1","Age","59",1
"1","Age","62",1
"1","Age","63",0
"1","Age","64",1
"1","Age","67",0
"1","Gender","1",22
"1","Gender","2",8
"1","LawSchool","1",8
"1","LawSchool","2",9
"1","LawSchool","3",13
"1","Office","1",25
"1","Office","2",1
"1","Office","3",4
"1","Practice","1",7
"1","Practice","2",23
"1","Seniority","1",2
"1","Seniority","2",4
"1","Seniority","28",0
"1","Seniority","29",0
"1","Seniority","31",2
"1","Seniority","32",1
"1","Seniority","3",3
"1","Seniority","4",1
"1","Seniority","5",3
"1","Seniority","6",0
"1","Seniority","7",0
"1","Seniority","8",1
"1","Seniority","9",1
"1","Seniority","10",2
"1","Seniority","11",0
"1","Seniority","13",0
"1","Seniority","15",2
"1","Seniority","16",0
"1","Seniority","17",0
"1","Seniority","18",0
"1","Seniority","19",2
"1","Seniority","20",1
"1","Seniority","21",1
"1","Seniority","22",0
"1","Seniority","23",1
"1","Seniority","24",1
"1","Seniority","25",2
"1","Status","1",17
"1","Status","2",13
"2","Age","26",0
"2","Age","28",0
"2","Age","29",2
"2","Age","30",1
"2","Age","31",1
"2","Age","32",0
"2","Age","33",3
"2","Age","34",1
"2","Age","35",0
"2","Age","36",0
"2","Age","37",1
"2","Age","38",1
"2","Age","39",1
"2","Age","41",0
"2","Age","42",0
"2","Age","43",1
"2","Age","44",0
"2","Age","45",1
"2","Age","46",0
"2","Age","47",0
"2","Age","48",0
"2","Age","49",0
"2","Age","50",0
"2","Age","52",0
"2","Age","53",0
"2","Age","55",1
"2","Age","56",1
"2","Age","57",0
"2","Age","59",1
"2","Age","62",0
"2","Age","63",1
"2","Age","64",0
"2","Age","67",1
"2","Gender","1",16
"2","Gender","2",2
"2","LawSchool","1",3
"2","LawSchool","2",8
"2","LawSchool","3",7
"2","Office","1",0
"2","Office","2",18
"2","Office","3",0
"2","Practice","1",11
"2","Practice","2",7
"2","Seniority","1",1
"2","Seniority","2",2
"2","Seniority","28",0
"2","Seniority","29",2
"2","Seniority","31",1
"2","Seniority","32",0
"2","Seniority","3",2
"2","Seniority","4",1
"2","Seniority","5",0
"2","Seniority","6",0
"2","Seniority","7",1
"2","Seniority","8",4
"2","Seniority","9",0
"2","Seniority","10",0
"2","Seniority","11",1
"2","Seniority","13",1
"2","Seniority","15",1
"2","Seniority","16",0
"2","Seniority","17",0
"2","Seniority","18",1
"2","Seniority","19",0
"2","Seniority","20",0
"2","Seniority","21",0
"2","Seniority","22",0
"2","Seniority","23",0
"2","Seniority","24",0
"2","Seniority","25",0
"2","Status","1",13
"2","Status","2",5
"3","Age","26",2
"3","Age","28",1
"3","Age","29",2
"3","Age","30",0
"3","Age","31",1
"3","Age","32",0
"3","Age","33",1
"3","Age","34",2
"3","Age","35",1
"3","Age","36",1
"3","Age","37",1
"3","Age","38",2
"3","Age","39",0
"3","Age","41",0
"3","Age","42",0
"3","Age","43",2
"3","Age","44",0
"3","Age","45",1
"3","Age","46",0
"3","Age","47",2
"3","Age","48",0
"3","Age","49",0
"3","Age","50",1
"3","Age","52",0
"3","Age","53",2
"3","Age","55",0
"3","Age","56",0
"3","Age","57",1
"3","Age","59",0
"3","Age","62",0
"3","Age","63",0
"3","Age","64",0
"3","Age","67",0
"3","Gender","1",15
"3","Gender","2",8
"3","LawSchool","1",4
"3","LawSchool","2",11
"3","LawSchool","3",8
"3","Office","1",23
"3","Office","2",0
"3","Office","3",0
"3","Practice","1",23
"3","Practice","2",0
"3","Seniority","1",5
"3","Seniority","2",1
"3","Seniority","28",1
"3","Seniority","29",0
"3","Seniority","31",0
"3","Seniority","32",0
"3","Seniority","3",4
"3","Seniority","4",2
"3","Seniority","5",2
"3","Seniority","6",2
"3","Seniority","7",1
"3","Seniority","8",0
"3","Seniority","9",0
"3","Seniority","10",0
"3","Seniority","11",0
"3","Seniority","13",1
"3","Seniority","15",0
"3","Seniority","16",1
"3","Seniority","17",1
"3","Seniority","18",0
"3","Seniority","19",0
"3","Seniority","20",0
"3","Seniority","21",0
"3","Seniority","22",1
"3","Seniority","23",1
"3","Seniority","24",0
"3","Seniority","25",0
"3","Status","1",6
"3","Status","2",17
